genus	domain	n_species	core_genes	bins_65	min_aai	mean_aai	pairs_ge95	gtdb_genera	genomes_in_gtdb	genomes_not_in_gtdb	ari_vs_gtdb	outcome	wall_seconds
Pseudoalteromonas	Bacteria	57	898	3	62.66	72.06	16	1	56	1	0.0	RaGCAn split, GTDB one genus	143
Pseudoblastomonas	Bacteria	4	1025	1	68.33	75.17	1	2	4	0	0.0	RaGCAn one bin, GTDB splits	4
Pseudochrobactrum	Bacteria	7	1870	1	83.20	88.74	3	1	7	0	nan	both coherent	8
Pseudocitrobacter	Bacteria	4	3424	1	93.31	94.90	3	1	4	0	nan	both coherent	6
Pseudoclavibacter	Bacteria	6	240	3	56.25	62.66	0	2	6	0	0.4444	both split	5
Pseudodesulfovibrio	Bacteria	18	799	2	63.03	72.19	0	1	17	1	0.0	RaGCAn split, GTDB one genus	20
Pseudoduganella	Bacteria	19	1376	1	72.30	76.46	0	1	19	0	nan	both coherent	43
Pseudoflavonifractor	Bacteria	5	736	1	65.01	72.69	1	3	5	0	0.0	RaGCAn one bin, GTDB splits	5
Pseudofrankia	Bacteria	4	2996	1	77.71	82.70	0	1	4	0	nan	both coherent	10
Pseudogemmobacter	Bacteria	7	1224	1	71.37	73.98	0	1	7	0	nan	both coherent	8
Pseudolactococcus	Bacteria	11	853	1	75.29	81.54	1	1	9	2	nan	both coherent	6
Pseudomaricurvus	Bacteria	4	1229	1	66.16	70.12	0	1	4	0	nan	both coherent	6
Pseudomonas	Bacteria	391	226	2	63.66	77.73	213	12	362	29	0.2325	both split	6926
Pseudonocardia	Bacteria	49	575	2	64.24	70.54	1	1	45	4	0.0	RaGCAn split, GTDB one genus	267
Pseudooceanicola	Bacteria	17	582	2	64.51	70.48	1	2	15	2	-0.0448	both split	51
Pseudophaeobacter	Bacteria	4	1988	1	81.54	85.02	1	1	4	0	nan	both coherent	5
Pseudorhizobium	Bacteria	8	2248	1	79.78	84.13	4	1	8	0	nan	both coherent	11
Pseudorhodobacter	Bacteria	5	1693	1	78.17	80.58	0	1	5	0	nan	both coherent	5
