# File S18. Genera with two or three named species, screened after the survey with the survey settings (--pident 60 --bin-aai 65, DIAMOND 2.1.8 --very-sensitive).
# 1,046 genera (993 bacterial, 53 archaeal), 2,456 genomes, one per named species; all finished. GTDB release R232.
# Scored by the survey rule (at least three GTDB-classified genomes): 309 genera; 251 agree-whole, 10 agree-divide, 42 missed, 6 flagged.
# Genera with exactly two GTDB-classified genomes (659) are compared descriptively only (bins on those two genomes vs number of GTDB genera): 604 match.
# Part A: one row per genus. gtdb_classified = genomes present in GTDB R232; bins_on_gtdb_genomes and gtdb_genera are computed on those genomes only.
part	genus	domain	genomes_screened	gtdb_classified	all_bins	bins_on_gtdb_genomes	gtdb_genera	result	ari	gtdb_labels_of_the_two
A	Caenispirillum	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Caenispirillum,Caenispirillum
A	Caldanaerobius	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Caldanaerobius,Caldanaerobius
A	Caldicoprobacter	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Caldilinea	Bacteria	2	1	1			not scored; fewer than two GTDB-classified genomes		
A	Caldisericum	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Caldisericum,Caldisericum
A	Calditerricola	Bacteria	2	1	1			not scored; fewer than two GTDB-classified genomes		
A	Caldovatus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Caldovatus,Caldovatus
A	Calidifontibacillus	Bacteria	2	2	1	1	2	not scored; two-genome comparison (differ)		Calidifontibacillus,Calidifontibacillus_A
A	Calidifontibacter	Bacteria	2	1	1			not scored; fewer than two GTDB-classified genomes		
A	Caloranaerobacter	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Calothrix	Bacteria	3	3	1	1	2	missed	0.0	
A	Camelimonas	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Caminibacter	Bacteria	3	2	1	1	1	not scored; two-genome comparison (match)		Caminibacter,Caminibacter
A	Candidimonas	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Candidimonas,Candidimonas
A	Canibacter	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Caproicibacterium	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Carbonicoccus	Bacteria	2	0	1			not scored; fewer than two GTDB-classified genomes		
A	Cardiobacterium	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Cardiobacterium,Cardiobacterium
A	Carnimonas	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Carnimonas,Carnimonas
A	Caryophanon	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Caryophanon,Caryophanon
A	Catalinimonas	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Catenibacterium	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Catenibacterium,Catenibacterium
A	Catonella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Catonella,Catonella
A	Cecembia	Bacteria	3	3	1	1	2	missed	0.0	
A	Cellulosilyticum	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Cellulosilyticum,Cellulosilyticum
A	Cephaloticoccus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Cephaloticoccus,Cephaloticoccus
A	Cerasibacillus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Cerasibacillus,Cerasibacillus
A	Cetobacterium	Bacteria	2	1	1			not scored; fewer than two GTDB-classified genomes		
A	Chachezhania	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Chachezhania,Chachezhania
A	Chamaesiphon	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Chamaesiphon,Chamaesiphon
A	Chengkuizengella	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Chimaeribacter	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Chitinilyticum	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Chitiniphilus	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Chitinolyticbacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Chitinolyticbacter,Chitinolyticbacter
A	Chlamydiifrater	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Chlamydiifrater,Chlamydiifrater
